CustomerID,Name,LastName,Address,Phone
CUS0001,Jane,Doe,Street 1,12345678
CUS0002,Jane,Doe,Street 1,12345678
CUS0003,Jane,Doe,Street 1,12345678
CUS0004,Jane,Doe,Street 1,12345678
CUS0005,Jane,Doe,Street 1,12345678
CUS0006,Jane,Doe,Street 1,12345678
CUS0007,Jane,Doe,Street 1,12345678
CUS0008,Jane,Doe,Street 1,12345678
CUS0009,Jane,Doe,Street 1,12345678
CUS0010,Jane,Doe,Street 1,12345678
CUS0011,Jane,Doe,Street 1,12345678
CUS0012,Jane,Doe,Street 1,12345678
CUS0013,Jane,Doe,Street 1,12345678
CUS0014,Jane,Doe,Street 1,12345678
CUS0015,Jane,Doe,Street 1,12345678
CUS0016,Jane,Doe,Street 1,12345678
CUS0017,Jane,Doe,Street 1,12345678
CUS0018,Jane,Doe,Street 1,12345678
CUS0019,Jane,Doe,Street 1,12345678
CUS0020,Jane,Doe,Street 1,12345678
CUS0021,Jane,Doe,Street 1,12345678
CUS0022,Jane,Doe,Street 1,12345678
